,Carrier_Code,Origin_Airport,Flight_Season,Flight_Month,Flight_Week,Flight_Day,Scheduled_Departure_Time,Actual_Departure_Time,Departure_Delay,Dep_Temp_3,Dep_Pressure_3,Dep_Humidity_3,Dep_Wind_Speed_3,Dep_Wind_Deg_3,Dep_Clouds_3,Dep_Rain_3,Airport_Abbr,Lat_N,Lng_W,GMT,Carrier_Abbr
87,6,218.0,2,3,10,10,19,20,46.0,-1.0,4.0,3.0,2,32.0,0.0,0.0,PHX,33.43,112.01,-7.0,AA
88,6,218.0,3,6,23,13,16,16,-5.0,2.0,-6.0,1.0,1,6.0,2.0,0.0,PHX,33.43,112.01,-7.0,AA
89,6,214.0,3,8,31,7,10,10,-4.0,1.0,2.0,9.0,1,5.0,10.0,0.0,CLT,35.21,80.94,-5.0,AA
90,6,214.0,1,1,4,31,14,15,45.0,-3.0,5.0,8.0,3,2.0,9.0,0.0,CLT,35.21,80.94,-5.0,AA
91,6,218.0,3,6,24,20,9,9,-4.0,4.0,-13.0,1.0,1,26.0,0.0,0.0,PHX,33.43,112.01,-7.0,AA
92,6,213.0,2,4,13,1,7,10,196.0,1.0,7.0,7.0,2,10.0,0.0,0.0,FLL,26.07,80.15,-5.0,AA
93,6,199.0,3,7,28,12,13,13,18.0,-1.0,0.0,9.0,5,26.0,9.0,0.0,SFO,37.62,122.37,-8.0,AA
94,6,214.0,3,6,26,29,20,21,34.0,2.0,14.0,7.0,5,16.0,9.0,0.0,CLT,35.21,80.94,-5.0,AA
95,6,218.0,2,5,20,21,14,15,81.0,1.0,-7.0,0.0,5,30.0,9.0,0.0,PHX,33.43,112.01,-7.0,AA
96,6,166.0,3,7,26,1,5,6,11.0,1.0,0.0,9.0,3,19.0,9.0,16.0,BDL,41.93,72.68,-5.0,AA
97,6,214.0,3,7,27,7,20,20,6.0,3.0,6.0,5.0,3,25.0,9.0,0.0,CLT,35.21,80.94,-5.0,AA
98,6,115.0,3,8,32,14,14,16,93.0,1.0,2.0,5.0,2,29.0,2.0,0.0,FAT,36.77,119.71,-8.0,AA
99,6,218.0,3,6,23,10,7,8,55.0,3.0,-2.0,0.0,3,24.0,7.0,0.0,PHX,33.43,112.01,-7.0,AA
100,6,188.0,3,8,33,22,7,7,-1.0,1.0,-1.0,8.0,0,0.0,0.0,0.0,DCA,38.85,77.04,-5.0,AA
101,6,214.0,2,3,10,11,22,22,8.0,1.0,16.0,4.0,3,24.0,4.0,0.0,CLT,35.21,80.94,-5.0,AA
102,6,221.0,3,6,24,18,15,15,23.0,2.0,1.0,7.0,4,16.0,4.0,0.0,DFW,32.89,97.04,-6.0,AA
103,6,217.0,1,2,8,22,7,7,-6.0,-1.0,11.0,6.0,2,32.0,0.0,0.0,LAX,33.94,118.4,-8.0,AA
104,6,215.0,2,4,14,10,9,9,-1.0,-1.0,-6.0,8.0,3,24.0,7.0,0.0,ORD,41.98,87.9,-6.0,AA
105,6,223.0,3,7,30,29,20,21,99.0,3.0,5.0,5.0,3,22.0,4.0,0.0,ATL,33.64,84.42,-5.0,AA
106,6,214.0,3,8,31,4,16,17,52.0,0.0,1.0,8.0,4,3.0,5.0,0.0,CLT,35.21,80.94,-5.0,AA
107,6,215.0,3,8,31,2,20,21,58.0,1.0,7.0,5.0,3,5.0,7.0,0.0,ORD,41.98,87.9,-6.0,AA
108,6,188.0,3,7,30,29,15,16,82.0,1.0,2.0,9.0,2,14.0,9.0,0.0,DCA,38.85,77.04,-5.0,AA
109,6,221.0,1,2,7,19,8,8,-5.0,-4.0,20.0,6.0,6,33.0,4.0,0.0,DFW,32.89,97.04,-6.0,AA
110,6,221.0,3,6,24,19,20,21,15.0,3.0,0.0,4.0,2,16.0,2.0,0.0,DFW,32.89,97.04,-6.0,AA
111,6,215.0,2,3,11,18,11,13,154.0,-3.0,-2.0,9.0,12,4.0,9.0,0.0,ORD,41.98,87.9,-6.0,AA
112,6,214.0,1,2,7,17,20,21,40.0,-2.0,13.0,4.0,4,4.0,4.0,0.0,CLT,35.21,80.94,-5.0,AA
113,6,215.0,3,6,23,12,15,17,144.0,1.0,-2.0,8.0,2,2.0,4.0,0.0,ORD,41.98,87.9,-6.0,AA
114,6,211.0,3,7,28,14,19,20,67.0,3.0,10.0,7.0,6,9.0,7.0,0.0,MIA,25.79,80.27,-5.0,AA
115,6,217.0,2,5,20,22,13,13,-2.0,-1.0,4.0,7.0,4,11.0,4.0,0.0,LAX,33.94,118.4,-8.0,AA
116,6,198.0,2,3,11,17,7,8,66.0,-1.0,7.0,5.0,2,31.0,2.0,0.0,SAN,32.73,117.19,-7.0,AA
117,6,205.0,3,8,30,1,18,18,0.0,1.0,1.0,5.0,0,29.0,0.0,0.0,BOS,42.36,71.0,-5.0,AA
118,6,211.0,3,6,24,15,16,17,37.0,2.0,4.0,7.0,3,18.0,7.0,0.0,MIA,25.79,80.27,-5.0,AA
119,6,212.0,2,3,11,16,16,17,34.0,0.0,-2.0,8.0,2,16.0,9.0,0.0,IAH,29.99,95.33,-6.0,AA
120,6,218.0,1,1,2,16,20,19,-10.0,-1.0,5.0,2.0,2,13.0,2.0,0.0,PHX,33.43,112.01,-7.0,AA
121,6,211.0,3,6,24,20,20,21,51.0,3.0,6.0,6.0,5,22.0,7.0,0.0,MIA,25.79,80.27,-5.0,AA
122,6,221.0,2,5,19,13,11,11,-5.0,0.0,12.0,8.0,2,5.0,9.0,0.0,DFW,32.89,97.04,-6.0,AA
123,6,211.0,3,6,24,14,13,14,20.0,2.0,1.0,8.0,3,18.0,4.0,0.0,MIA,25.79,80.27,-5.0,AA
124,6,217.0,2,3,12,25,6,5,-3.0,0.0,-1.0,3.0,4,28.0,4.0,0.0,LAX,33.94,118.4,-8.0,AA
125,6,215.0,1,1,2,15,13,13,23.0,-3.0,-17.0,8.0,4,17.0,9.0,0.0,ORD,41.98,87.9,-6.0,AA
126,6,221.0,3,8,32,10,20,20,1.0,3.0,4.0,6.0,1,19.0,0.0,0.0,DFW,32.89,97.04,-6.0,AA
